id,chapter,image_type,filename,prompt,notes
1,Cover,Cover Art,cover.png,"Book cover for 'Information Design'. Clean white background with thick black border (3pt weight) around entire cover. Title 'INFORMATION DESIGN' in large bold black sans-serif text centered upper third. Japanese characters 'Joho Dezain' directly below the English title as subtitle. Author credit 'As Interpreted by Nils Johansson' at bottom in smaller text. Center section features a bento-box grid layout with geometric shapes: colored circles (cyan, pink, yellow, orange, green, purple) each with thin black borders, arranged in compartments divided by black lines. Minimalist, technical, professional. No gradients, no shadows, flat design only. 6x9 inch book cover proportions.",Main book cover with title and author
2,Chapter 1,Concept Diagram,bento-diagram.png,"Bento box lunch diagram showing compartmentalized sections. Black lines dividing white container into 6 sections. Each section labeled: rice, protein, vegetables, preserved items, fruit, sauce. Clean top-down view. Thick black borders. Minimalist Japanese style.",Explains bento box principle
3,Chapter 1,Comparison,comparison.png,"Side by side comparison: LEFT labeled 'Cluttered Interface' showing overlapping elements, gradients, shadows, blur effects. RIGHT labeled 'Joho Dezain Interface' showing clean grid, black borders, flat colors, organized compartments. Technical diagram style.",Before/after concept
4,Chapter 2,Historical,train-signage.png,"Japanese train station sign diagram. White background, black border, destination names in bold Japanese text. Colored line indicators (colored circles with black borders). Platform numbers. Clean wayfinding design. Technical illustration.",Origins - railway signage
5,Chapter 2,Timeline,timeline.png,"Horizontal timeline from 1960 to 2024. Key milestones marked: 1964 Olympics pictograms, 1980s JIS standards, 1990s Muji founding, 2007 iPhone, 2020s iOS design. Black line with circular markers. Minimalist style.",Design history timeline
6,Chapter 3,Principles Grid,principles-grid.png,"3x3 grid showing 9 icons representing core principles: border (square), color (palette), typography (Aa), spacing (grid), corners (squircle), no blur (crossed circle), no gradients (flat rectangle), semantic meaning (colored dots), consistency (equals sign). Black icons on white, thick borders.",Core principles overview
7,Chapter 4,Color Palette,color-palette.png,"Horizontal color swatches with labels. Each swatch is a rectangle with black border: Yellow #FFE566 'Today', Cyan #A5F3FC 'Events', Pink #FECDD3 'Holidays', Orange #FED7AA 'Trips', Green #BBF7D0 'Money', Purple #E9D5FF 'People', Red #E53935 'Warning'. Technical specification style.",Complete color palette
8,Chapter 4,Color Usage,color-usage.png,"Calendar interface mockup showing colored indicator dots on dates. Small circles (cyan, pink, orange) next to date numbers. Yellow highlight on 'today' cell. All dots have thin black borders. Clean grid layout.",Color in context
9,Chapter 5,Border Weights,border-weights.png,"Five horizontal lines showing border weights: 1pt (cells), 1.5pt (rows), 2pt (buttons), 2.5pt (selected), 3pt (containers). Each labeled with use case. Technical specification diagram.",Border hierarchy
10,Chapter 5,Border Diagram,border-nesting.png,"Nested rectangles showing container hierarchy. Outer box 3pt border, middle section 1.5pt border, inner cards 1.5pt border, smallest elements 1pt border. Labels pointing to each level. Cross-section view.",Nesting demonstration
11,Chapter 6,Type Scale,type-scale.png,"Vertical list showing typography scale. Each line in its actual size: 48pt 'Display Large', 32pt 'Display Medium', 18pt 'Headline', 16pt 'Body', 14pt 'Body Small', 12pt 'LABEL', 10pt 'Label Small'. Rounded sans-serif font. Size and weight noted.",Typography specification
12,Chapter 6,Font Comparison,font-comparison.png,"Side by side: LEFT 'Sharp Typography' with pointed serifs and thin weights. RIGHT 'Rounded Typography' with soft terminals and medium weight. Same phrase 'Week 42' in both. Circle highlighting the difference in letter terminals.",Rounded vs sharp fonts
13,Chapter 7,Spacing Grid,spacing-grid.png,"Grid diagram showing 4pt base unit. Squares labeled: 4pt (xs), 8pt (sm), 12pt (md), 16pt (lg), 20pt (xl), 24pt (xxl), 32pt (xxxl). Each square proportionally sized. Technical blueprint style with measurements.",Spacing tokens visual
14,Chapter 7,Touch Targets,touch-targets.png,"Diagram showing small icon (20pt) inside larger touch area (44pt square with dashed border). Label '44pt minimum touch target'. Finger silhouette for scale. Technical HIG-style diagram.",Touch target specification
